Names,X Coordinate,Y Coordinate,Row,Column,Quadrant
R4C4Q2,13632.475999999997,-13830.0,-3,5,4
R3C4Q2,-13834.17,-13830.0,-3,-5,3
R1C5Q2,16388.769999999997,13830.0,3,6,1
R2C5Q2,-16590.464,13830.0,3,-6,2
R4C5Q2,16388.769999999997,-13830.0,-3,6,4
R3C5Q2,-16590.464,-13830.0,-3,-6,3
R1C6Q2,19145.064,13830.0,3,7,1
R2C6Q2,-19346.758,13830.0,3,-7,2
R4C6Q2,19145.064,-13830.0,-3,7,4
R3C6Q2,-19346.758,-13830.0,-3,-7,3
R1C7Q2,21901.358,13830.0,3,8,1
R2C7Q2,-22103.052000000003,13830.0,3,-8,2
R4C7Q2,21901.358,-13830.0,-3,8,4
R3C7Q2,-22103.052000000003,-13830.0,-3,-8,3
R1C8Q2,24657.652000000002,13830.0,3,9,1
R2C8Q2,-24859.346000000005,13830.0,3,-9,2
R4C8Q2,24657.652000000002,-13830.0,-3,9,4
R3C8Q2,-24859.346000000005,-13830.0,-3,-9,3
R1C9Q2,27413.946000000004,13830.0,3,10,1
R2C9Q2,-27615.640000000007,13830.0,3,-10,2
R4C9Q2,27413.946000000004,-13830.0,-3,10,4
R3C9Q2,-27615.640000000007,-13830.0,-3,-10,3
R1C10Q2,30170.240000000005,13830.0,3,11,1
R2C10Q2,-30371.93400000001,13830.0,3,-11,2
R4C10Q2,30170.240000000005,-13830.0,-3,11,4
R3C10Q2,-30371.93400000001,-13830.0,-3,-11,3
R1C0Q4,2607.3,23830.0,5,1,1
R2C0Q4,-2808.9939999999997,23830.0,5,-1,2
R4C0Q4,2607.3,-23830.0,-5,1,4
R3C0Q4,-2808.9939999999997,-23830.0,-5,-1,3
R1C1Q4,5363.594,23830.0,5,2,1
R2C1Q4,-5565.288,23830.0,5,-2,2
R4C1Q4,5363.594,-23830.0,-5,2,4
R3C1Q4,-5565.288,-23830.0,-5,-2,3
R1C2Q4,8119.888,23830.0,5,3,1
R2C2Q4,-8321.582000000002,23830.0,5,-3,2
R4C2Q4,8119.888,-23830.0,-5,3,4
R3C2Q4,-8321.582000000002,-23830.0,-5,-3,3
R1C3Q4,10876.181999999997,23830.0,5,4,1
R2C3Q4,-11077.876,23830.0,5,-4,2
R4C3Q4,10876.181999999997,-23830.0,-5,4,4
R3C3Q4,-11077.876,-23830.0,-5,-4,3
R1C4Q4,13632.475999999997,23830.0,5,5,1
R2C4Q4,-13834.17,23830.0,5,-5,2
R4C4Q4,13632.475999999997,-23830.0,-5,5,4
R3C4Q4,-13834.17,-23830.0,-5,-5,3
R1C5Q4,16388.769999999997,23830.0,5,6,1
R2C5Q4,-16590.464,23830.0,5,-6,2
R4C5Q4,16388.769999999997,-23830.0,-5,6,4
R3C5Q4,-16590.464,-23830.0,-5,-6,3
R1C6Q4,19145.064,23830.0,5,7,1
R2C6Q4,-19346.758,23830.0,5,-7,2
R4C6Q4,19145.064,-23830.0,-5,7,4
R3C6Q4,-19346.758,-23830.0,-5,-7,3
R1C7Q4,21901.358,23830.0,5,8,1
R2C7Q4,-22103.052000000003,23830.0,5,-8,2
R4C7Q4,21901.358,-23830.0,-5,8,4
R3C7Q4,-22103.052000000003,-23830.0,-5,-8,3
R1C8Q4,24657.652000000002,23830.0,5,9,1
R2C8Q4,-24859.346000000005,23830.0,5,-9,2
R4C8Q4,24657.652000000002,-23830.0,-5,9,4
R3C8Q4,-24859.346000000005,-23830.0,-5,-9,3
R1C0Q5,2607.3,28830.0,6,1,1
R2C0Q5,-2808.9939999999997,28830.0,6,-1,2
R4C0Q5,2607.3,-28830.0,-6,1,4
R3C0Q5,-2808.9939999999997,-28830.0,-6,-1,3
R1C1Q5,5363.594,28830.0,6,2,1
R2C1Q5,-5565.288,28830.0,6,-2,2
R4C1Q5,5363.594,-28830.0,-6,2,4
R3C1Q5,-5565.288,-28830.0,-6,-2,3
R1C2Q5,8119.888,28830.0,6,3,1
R2C2Q5,-8321.582000000002,28830.0,6,-3,2
R4C2Q5,8119.888,-28830.0,-6,3,4
R3C2Q5,-8321.582000000002,-28830.0,-6,-3,3
R1C3Q5,10876.181999999997,28830.0,6,4,1
R2C3Q5,-11077.876,28830.0,6,-4,2
R4C3Q5,10876.181999999997,-28830.0,-6,4,4
R3C3Q5,-11077.876,-28830.0,-6,-4,3
R1C4Q5,13632.475999999997,28830.0,6,5,1
R2C4Q5,-13834.17,28830.0,6,-5,2
R4C4Q5,13632.475999999997,-28830.0,-6,5,4
R3C4Q5,-13834.17,-28830.0,-6,-5,3
R1C5Q5,16388.769999999997,28830.0,6,6,1
R2C5Q5,-16590.464,28830.0,6,-6,2
R4C5Q5,16388.769999999997,-28830.0,-6,6,4
R3C5Q5,-16590.464,-28830.0,-6,-6,3
R1C6Q5,19145.064,28830.0,6,7,1
R2C6Q5,-19346.758,28830.0,6,-7,2
R4C6Q5,19145.064,-28830.0,-6,7,4
R3C6Q5,-19346.758,-28830.0,-6,-7,3
R1C0Q6,2607.3,33830.0,7,1,1
R2C0Q6,-2808.9939999999997,33830.0,7,-1,2
R4C0Q6,2607.3,-33830.0,-7,1,4
R3C0Q6,-2808.9939999999997,-33830.0,-7,-1,3
R1C1Q6,5363.594,33830.0,7,2,1
R2C1Q6,-5565.288,33830.0,7,-2,2
R4C1Q6,5363.594,-33830.0,-7,2,4
R3C1Q6,-5565.288,-33830.0,-7,-2,3
R1C2Q6,8119.888,33830.0,7,3,1
R2C2Q6,-8321.582000000002,33830.0,7,-3,2
R4C2Q6,8119.888,-33830.0,-7,3,4
R3C2Q6,-8321.582000000002,-33830.0,-7,-3,3
R1C3Q6,10876.181999999997,33830.0,7,4,1
R2C3Q6,-11077.876,33830.0,7,-4,2
R4C3Q6,10876.181999999997,-33830.0,-7,4,4
R3C3Q6,-11077.876,-33830.0,-7,-4,3
